b,beta0,gamma,delta,mean_alpha_s1,mean_alpha_s0
3,0.1,1,1,0,0
3,0.1,1.41421,0.1,0,0
3,0.1,1.41421,0.316228,0,0
3,0.1,1.41421,1,0,0
3,0.1,1,0.01,1.98545,1.98156
3,0.1,1,0.0316228,2.03271,1.99836
3,0.1,2,0.0316228,0,0
2.12132,10,2,0.316228,2.7999,2.7967
3,0.1,2,0.1,0,0
3,0.1,2,0.316228,0,0
3,0.1,2,1,0,0
3,0.1,1.41421,0.01,2.28543,2.36042
3,0.1,1.41421,0.0316228,2.4272,2.41402
3,0.316228,0.5,0.316228,0,0
3,0.316228,0.5,1,0,0
3,0.316228,0.5,0.01,1.8117,1.81087
3,0.1,2,0.01,2.64149,2.7678
3,0.316228,0.707107,0.316228,0,0
3,0.316228,0.5,0.0316228,1.80523,1.8048
3,0.316228,0.707107,1,0,0
3,0.316228,0.5,0.1,1.80232,1.8014
3,0.316228,0.707107,0.01,1.82262,1.82117
3,0.316228,1,0.316228,0,0
3,0.316228,0.707107,0.0316228,1.81464,1.81032
3,0.316228,1,1,0,0
3,0.316228,0.707107,0.1,1.82149,1.80374
3,0.316228,1,0.01,1.98594,1.9842
3,0.316228,1.41421,0.316228,0,0
3,0.316228,1.41421,1,0,0
3,0.316228,1,0.0316228,2.04176,2.00112
3,0.316228,1,0.1,2.10313,2.00012
3,0.316228,2,0.1,0,0
3,0.316228,1.41421,0.01,2.28321,2.36458
3,0.316228,2,0.316228,0,0
3,0.316228,2,1,0,0
3,0.316228,1.41421,0.0316228,2.43456,2.41315
3,0.316228,1.41421,0.1,2.51375,2.41676
3,1,0.5,1,0,0
3,0.316228,2,0.01,2.65529,2.76808
3,1,0.5,0.01,1.81522,1.81198
3,0.316228,2,0.0316228,2.79152,2.7825
3,1,0.707107,0.01,1.83328,1.81958
3,1,0.707107,1,0,0
3,1,0.5,0.0316228,1.80699,1.80455
3,1,0.5,0.1,1.80889,1.80146
3,1,1,1,0,0
3,1,0.707107,0.0316228,1.82719,1.81067
3,1,0.5,0.316228,1.98713,1.80043
3,1,1,0.01,1.99585,1.97964
3,1,0.707107,0.1,1.94536,1.804
3,1,1,0.0316228,2.08384,1.99682
3,1,1.41421,1,0,0
3,1,0.707107,0.316228,2.08825,1.80128
3,1,1.41421,0.316228,0,2.41387
3,1,2,0.316228,0,0
3,1,1,0.1,2.20805,2.00046
3,1,1,0.316228,2.29776,1.99997
3,1,1.41421,0.01,2.29269,2.36092
3,1,2,1,0,0
3,1,1.41421,0.0316228,2.46324,2.41157
3,3.16228,0.5,0.01,0,1.81116
3,3.16228,0.5,0.0316228,0,1.80465
3,1,1.41421,0.1,2.59406,2.41192
3,1,2,0.01,2.64769,2.7652
3,3.16228,0.707107,0.01,0,1.82102
3,3.16228,0.707107,0.0316228,0,1.81021
3,3.16228,0.5,1,0,1.80011
3,1,2,0.0316228,2.79269,2.78104
3,3.16228,1,0.01,0,1.98413
3,3.16228,1,0.0316228,0,1.99907
3,1,2,0.1,2.79797,2.79092
3,3.16228,0.707107,1,0,1.80039
3,3.16228,0.5,0.1,2.21262,1.80133
3,3.16228,1.41421,0.01,0,2.3573
3,3.16228,1,1,0,1.99998
3,3.16228,0.707107,0.1,2.41169,1.80401
3,3.16228,0.5,0.316228,2.50066,1.80043
3,3.16228,1.41421,1,0,2.40595
3,3.16228,1.41421,0.0316228,2.60674,2.41329
3,3.16228,0.707107,0.316228,2.63914,1.80118
3,10,0.5,0.01,0,0
3,10,0.5,0.0316228,0,0
3,3.16228,1,0.1,2.59327,2.0005
3,3.16228,2,1,0,0
3,3.16228,1,0.316228,2.79411,1.99986
3,10,0.707107,0.01,0,0
3,10,0.707107,0.0316228,0,0
3,3.16228,1.41421,0.1,2.79216,2.4169
3,3.16228,2,0.01,2.66927,2.76757
3,10,0.5,0.1,0,2.14578
3,10,1,0.01,0,0
3,10,1,0.0316228,0,0
3,3.16228,2,0.0316228,2.79422,2.78132
3,3.16228,1.41421,0.316228,2.79915,2.41351
3,3.16228,2,0.1,2.79851,2.79091
3,10,1.41421,0.01,0,0
3,10,0.707107,0.1,0,2.22153
3,10,1,0.1,0,2.32064
3,10,1.41421,0.0316228,0,2.51463
3,3.16228,2,0.316228,2.79973,2.79685
3,10,1.41421,0.1,0,2.45256
3,10,2,0.01,0,2.76714
3,10,2,0.0316228,0,2.78033
3,10,0.5,0.316228,2.79526,2.03386
3,10,1.41421,1,0,2.40728
3,10,2,0.1,0,2.79209
4.24264,0.1,0.5,0.01,1.81198,1.81122
3,10,0.707107,0.316228,2.79846,2.07738
3,10,2,1,0,2.79905
3,10,0.707107,1,2.79999,1.80037
4.24264,0.1,0.5,0.0316228,1.80471,1.80437
3,10,0.5,1,2.79988,1.80014
4.24264,0.1,0.5,0.1,0,0
3,10,1,1,2.7999,2.00028
4.24264,0.1,0.5,0.316228,0,0
4.24264,0.1,0.5,1,0,0
3,10,1,0.316228,2.7995,2.14217
4.24264,0.1,0.707107,0.01,1.82231,1.82075
4.24264,0.1,0.707107,0.1,0,0
3,10,1.41421,0.316228,2.79975,2.41272
4.24264,0.1,0.707107,0.316228,0,0
4.24264,0.1,0.707107,1,0,0
4.24264,0.1,0.707107,0.0316228,1.81372,1.81052
4.24264,0.1,1,0.1,0,0
4.24264,0.1,1,0.01,1.987,1.9823
4.24264,0.1,1,0.316228,0,0
4.24264,0.1,1,0.0316228,2.03286,1.99875
4.24264,0.1,1,1,0,0
4.24264,0.1,1.41421,0.1,0,0
4.24264,0.1,1.41421,0.316228,0,0
